2023-12-10 11:21:18,789 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:18,827 ; dogbone.ui ; INFO ; 206; preSelectEnd - active:True ended:False
2023-12-10 11:21:18,853 ; dogbone.ui ; DEBUG ; 207; current ID: 5633855123433482782
2023-12-10 11:21:18,884 ; dogbone.ui ; DEBUG ; 210; Trigger TLG restore
2023-12-10 11:21:18,915 ; dogbone.ui ; INFO ; 185; preSelectStart - active:False ended:True
2023-12-10 11:21:18,947 ; dogbone.ui ; DEBUG ; 191; current ID: 5633855123433482782
2023-12-10 11:21:18,986 ; dogbone.ui ; INFO ; 175; Mouse - active:True ended:True
2023-12-10 11:21:19,012 ; dogbone.ui ; DEBUG ; 176; current ID: 5633855123433482782
2023-12-10 11:21:19,044 ; dogbone.ui ; DEBUG ; 181; End Triggered
2023-12-10 11:21:19,088 ; dogbone.ui ; INFO ; 225; onPreSelect - active:False ended:False
2023-12-10 11:21:19,114 ; dogbone.ui ; DEBUG ; 226; current ID: None
2023-12-10 11:21:19,146 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:19,183 ; dogbone.ui ; INFO ; 225; onPreSelect - active:False ended:False
2023-12-10 11:21:19,215 ; dogbone.ui ; DEBUG ; 226; current ID: None
2023-12-10 11:21:19,247 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:19,285 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:19,316 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:19,355 ; dogbone.ui ; INFO ; 225; onPreSelect - active:False ended:False
2023-12-10 11:21:19,381 ; dogbone.ui ; DEBUG ; 226; current ID: None
2023-12-10 11:21:19,412 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:19,450 ; dogbone.ui ; INFO ; 225; onPreSelect - active:False ended:False
2023-12-10 11:21:19,482 ; dogbone.ui ; DEBUG ; 226; current ID: None
2023-12-10 11:21:19,514 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:19,545 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:19,577 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:20,120 ; dogbone.ui ; INFO ; 225; onPreSelect - active:False ended:False
2023-12-10 11:21:20,150 ; dogbone.ui ; DEBUG ; 226; current ID: None
2023-12-10 11:21:20,182 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:20,220 ; dogbone.ui ; INFO ; 225; onPreSelect - active:False ended:False
2023-12-10 11:21:20,246 ; dogbone.ui ; DEBUG ; 226; current ID: None
2023-12-10 11:21:20,271 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:20,307 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:20,339 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:20,379 ; dogbone.ui ; INFO ; 225; onPreSelect - active:False ended:False
2023-12-10 11:21:20,409 ; dogbone.ui ; DEBUG ; 226; current ID: None
2023-12-10 11:21:20,441 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:20,479 ; dogbone.ui ; INFO ; 225; onPreSelect - active:False ended:False
2023-12-10 11:21:20,511 ; dogbone.ui ; DEBUG ; 226; current ID: None
2023-12-10 11:21:20,537 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:20,581 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:20,613 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:20,653 ; dogbone.ui ; INFO ; 225; onPreSelect - active:False ended:False
2023-12-10 11:21:20,684 ; dogbone.ui ; DEBUG ; 226; current ID: None
